,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,22.29697434,0.28534767,1.506234328,0.060673256,1,15,5,0.05,10,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 10, 'colsample_bytree': 0.3}",0.137305699,0.143390979,0.155630064,0.145442248,0.007620208,1
1,10.48876262,0.068617284,0.468019644,0.012548306,1,15,4,0.15,40,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 40, 'colsample_bytree': 0.7}",0.136522689,0.145466224,0.152548078,0.144845664,0.006557037,2
2,14.24858149,0.206520998,0.672718445,0.026301888,1,15,4,0.1,20,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 0.3}",0.135350087,0.143953773,0.1543511,0.144551653,0.007768643,3
3,10.64956832,0.20300469,0.43768692,0.036209229,1,15,5,0.15,60,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 60, 'colsample_bytree': 0.7}",0.136151099,0.143050862,0.154433934,0.144545298,0.007538369,4
4,12.35049804,0.172958369,0.681150436,0.022567119,1,15,4,0.1,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 30, 'colsample_bytree': 0.3}",0.135727679,0.143422126,0.153998026,0.14438261,0.007489695,5
5,14.74493734,0.060477219,0.657994668,0.005349682,1,15,5,0.1,20,1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 1.0}",0.136185317,0.142900043,0.153461102,0.144182154,0.007110839,6
6,13.31381671,0.166010545,0.528773069,0.020443598,1,15,5,0.1,60,1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 60, 'colsample_bytree': 1.0}",0.136895938,0.143541289,0.151979183,0.144138804,0.006172187,7
7,12.225015,0.105997405,0.524049044,0.032092986,1,15,5,0.15,50,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 50, 'colsample_bytree': 0.3}",0.134963521,0.143414202,0.153991074,0.144122932,0.007784115,8
8,11.15632137,0.147412125,0.617977937,0.016484249,1,15,5,0.1,50,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 50, 'colsample_bytree': 0.7}",0.136401411,0.143004958,0.152703166,0.144036512,0.006695017,9
9,15.70403862,0.16995005,0.912781715,0.026933561,1,15,4,0.1,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 10, 'colsample_bytree': 0.7}",0.136348913,0.142934161,0.152375738,0.143886271,0.00657747,10
10,16.04155731,0.152321233,0.831181288,0.021657351,1,15,3,0.05,20,0.1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 20, 'colsample_bytree': 0.1}",0.133277702,0.144357018,0.153422562,0.143685761,0.008237791,11
11,12.09832994,0.088197257,0.66514047,0.040294809,1,15,4,0.2,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 10, 'colsample_bytree': 0.5}",0.136495531,0.143509821,0.150824643,0.143609998,0.005850264,12
12,16.28524733,0.211756217,1.026238362,0.013979669,1,15,4,0.05,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 30, 'colsample_bytree': 0.1}",0.133174034,0.14363511,0.153748153,0.143519099,0.008399749,13
13,11.39594968,0.110322062,0.622434934,0.019233608,1,15,3,0.15,20,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 20, 'colsample_bytree': 0.3}",0.135614354,0.142227738,0.152472435,0.143438175,0.006935301,14
14,9.816436052,0.03189115,0.474818548,0.021540651,1,15,5,0.2,60,0.3,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 60, 'colsample_bytree': 0.3}",0.134613985,0.14340757,0.152273231,0.143431596,0.007209377,15
15,10.12909683,0.120796669,0.467522224,0.013055453,1,15,3,0.15,60,0.5,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 60, 'colsample_bytree': 0.5}",0.134493358,0.143700207,0.151971946,0.143388504,0.007139007,16
16,11.44462458,0.044819648,0.42149806,0.012043127,1,15,4,0.25,20,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 20, 'colsample_bytree': 0.7}",0.134954206,0.143744192,0.150758292,0.14315223,0.006465555,17
17,9.946813265,0.082002833,0.480437676,0.023747194,1,15,4,0.2,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 10, 'colsample_bytree': 0.7}",0.134906799,0.143983162,0.149975877,0.142955279,0.006194712,18
18,13.20371548,0.778373701,0.717917283,0.04245908,1,15,3,0.15,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 10, 'colsample_bytree': 0.5}",0.134919462,0.142766712,0.150918456,0.14286821,0.006531956,19
19,9.84761246,0.05485647,0.428618987,0.012500955,1,15,4,0.25,30,1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 30, 'colsample_bytree': 1.0}",0.134347607,0.142690356,0.150879081,0.142639015,0.006749044,20
20,11.88040654,0.394464781,0.622444709,0.025115506,1,15,5,0.25,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 10, 'colsample_bytree': 0.7}",0.134002207,0.142866571,0.150817801,0.142562193,0.006868311,21
21,13.58189654,0.158330786,0.820096334,0.032130977,1,15,4,0.15,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 30, 'colsample_bytree': 0.1}",0.133112115,0.141087896,0.150091144,0.141430385,0.006935888,22
22,12.9001898,0.228598655,0.779168685,0.033983899,1,15,3,0.15,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 30, 'colsample_bytree': 0.1}",0.132977303,0.141658528,0.149360155,0.141331995,0.006692256,23
23,11.80565945,0.055248909,0.790694952,0.016753153,1,15,5,0.25,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 15, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 30, 'colsample_bytree': 0.1}",0.132310679,0.140570142,0.149476761,0.14078586,0.007009683,24
24,11.51598907,0.042166422,0.527731657,0.017187088,1,10,4,0.1,30,1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 30, 'colsample_bytree': 1.0}",0.132858388,0.139334947,0.140734949,0.137642762,0.003431003,25
25,14.88951651,0.312196648,1.059232076,0.079044002,1,10,5,0.05,50,0.3,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 50, 'colsample_bytree': 0.3}",0.134642145,0.13901452,0.138580264,0.13741231,0.001966808,26
26,9.27424113,0.018680334,0.369205236,0.018463254,1,10,3,0.25,40,0.3,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.25, 'gamma': 40, 'colsample_bytree': 0.3}",0.131661442,0.13915238,0.141185842,0.137333221,0.004095571,27
27,15.82425149,0.132074939,0.922097127,0.046158388,1,10,4,0.05,60,0.3,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 60, 'colsample_bytree': 0.3}",0.132656896,0.139510672,0.1386397,0.136935756,0.003046433,28
28,11.82823634,0.138395018,0.593578736,0.038683428,1,10,5,0.15,20,0.3,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 20, 'colsample_bytree': 0.3}",0.132851649,0.138526885,0.138551605,0.136643379,0.002681177,29
29,14.18341835,0.076735096,0.909815709,0.014625893,1,10,4,0.25,10,0.1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 10, 'colsample_bytree': 0.1}",0.130444204,0.140323118,0.138919926,0.136562416,0.004363991,30
30,16.65960892,0.09789581,0.871619383,0.013334089,1,10,5,0.05,30,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 30, 'colsample_bytree': 0.5}",0.13217229,0.140483004,0.136954503,0.136536599,0.003405679,31
31,12.9843154,0.014485538,0.576640209,0.022173104,1,10,5,0.1,30,1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 30, 'colsample_bytree': 1.0}",0.132616765,0.139333098,0.137313771,0.136421211,0.002813631,32
32,14.74468891,0.116796493,0.821516037,0.037224997,1,10,3,0.05,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 10, 'colsample_bytree': 0.7}",0.132797522,0.138171208,0.137759336,0.136242689,0.002441897,33
33,12.72565532,0.054482614,0.517778714,0.030927389,1,10,5,0.1,30,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 30, 'colsample_bytree': 0.7}",0.131624391,0.140158194,0.135274668,0.135685751,0.003496016,34
34,9.324750582,0.010133684,0.420730273,0.009846076,1,10,5,0.2,50,1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 50, 'colsample_bytree': 1.0}",0.131190605,0.13703132,0.138812271,0.135678065,0.003255347,35
35,16.03800797,0.108868865,1.293837468,0.016651951,1,10,5,0.1,10,0.1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 10, 'colsample_bytree': 0.1}",0.131140477,0.137886982,0.137924447,0.135650635,0.0031892,36
36,15.47134233,0.171459995,0.880007903,0.045766116,1,10,4,0.05,30,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 30, 'colsample_bytree': 0.7}",0.131109833,0.139692853,0.136110796,0.135637827,0.003519927,37
37,12.15925264,0.044492032,0.626265287,0.003863572,1,10,3,0.2,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 10, 'colsample_bytree': 0.7}",0.129257174,0.136245353,0.141395444,0.135632657,0.004974331,38
38,10.03996666,0.121304678,0.386934757,0.003339541,1,10,3,0.15,50,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 50, 'colsample_bytree': 0.7}",0.131360599,0.138397648,0.13698336,0.135580536,0.003039293,39
39,12.90744201,0.101398666,0.724386295,0.031950577,1,10,5,0.2,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 0.1}",0.128759632,0.13868858,0.139193793,0.135547335,0.00480406,40
40,15.80487426,0.453293582,0.955621004,0.047201943,1,10,5,0.05,40,0.1,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 40, 'colsample_bytree': 0.1}",0.130544355,0.136684927,0.137511739,0.134913674,0.003107959,41
41,11.01047214,0.055167711,0.399717569,0.018794607,1,10,5,0.2,40,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 40, 'colsample_bytree': 0.7}",0.132780083,0.135451179,0.136361062,0.134864108,0.001519724,42
42,10.84386706,0.053500043,0.439720949,0.012260161,1,10,3,0.15,50,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 50, 'colsample_bytree': 0.5}",0.129659163,0.138035935,0.136001319,0.134565472,0.003567335,43
43,14.45040433,0.036545295,0.811945279,0.023108805,1,10,4,0.05,50,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 50, 'colsample_bytree': 0.7}",0.131124967,0.138305828,0.134060705,0.134497166,0.002947775,44
44,9.443549554,0.053968322,0.386873404,0.018568065,1,10,4,0.2,40,0.7,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 40, 'colsample_bytree': 0.7}",0.130534725,0.135768733,0.13691184,0.134405099,0.002776271,45
45,10.76210674,0.112432878,0.470443249,0.026535316,1,10,3,0.2,30,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 0.5}",0.131648503,0.137088596,0.133984269,0.134240456,0.002228284,46
46,12.01354003,0.278948913,0.478412628,0.031005358,1,10,5,0.25,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 10, 'colsample_bytree': 0.5}",0.125589554,0.137921174,0.138402482,0.13397107,0.005929883,47
47,11.87758629,0.09283032,0.653652271,0.013139987,1,10,5,0.15,10,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 10, 'colsample_bytree': 0.5}",0.128412211,0.134836922,0.13859773,0.133948954,0.004205359,48
48,10.79929248,0.071608517,0.591400782,0.014805901,1,7,3,0.15,40,0.1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 40, 'colsample_bytree': 0.1}",0.09333876,0.104100714,0.084350133,0.093929869,0.008073967,49
49,12.40497406,0.201876129,0.713039239,0.05354812,1,7,5,0.2,30,0.1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 30, 'colsample_bytree': 0.1}",0.091995553,0.1021283,0.083792919,0.092638924,0.007499199,50
