backtest_id,train_dataset,dependent_var_name,algorithm,model_id
260,training_data_ipo_delay,is_top_100_next_month,run_backtest_pred_threshold --0.6,131
258,training_data_ipo_delay,is_top_100_next_month,backtest_classifier_base,131
354,training_data_ipo_delay,is_top_50_next_3month,run_backtest_replace100,132
284,training_data_ipo_delay,is_top_100_next_2month,run_backtest_replace100,130
303,training_data_ipo_delay,is_top_50_next_3month,run_backtest_pred_threshold --0.6,130
347,training_data_ipo_delay,is_top_100_next_2month,backtest_classifier_base,132
193,training_data_top60pct_ipo_delay,is_top_100_next_month,run_backtest_pred_threshold --0.6,130
192,training_data_top60pct_ipo_delay,is_top_100_next_month,backtest_classifier_base,130
313,training_data_top60pct_ipo_delay,is_top_100_next_month,run_backtest_pred_threshold --0.6,132
230,training_data_ipo_delay,is_top_100_next_month,run_backtest_pred_threshold --0.6,6
282,training_data_ipo_delay,is_top_100_next_2month,backtest_classifier_base,130
183,training_data_top60pct_ipo_delay,is_top_100_next_month,backtest_classifier_base,6
327,training_data_top70pct_ipo_delay,is_top_100_next_month,backtest_classifier_base,132
332,training_data_top70pct_ipo_delay,is_top_100_next_2month,backtest_classifier_base,132
135,training_data,is_top_50_next_3month,run_backtest_pred_threshold --0.6,6
341,training_data_top70pct_ipo_delay,is_top_50_next_3month,run_backtest_pred_threshold_top_mcap --0.6,132
323,training_data_top60pct_ipo_delay,is_top_50_next_3month,run_backtest_pred_threshold --0.6,132
256,training_data_ipo_delay,is_top_100_next_month,run_backtest_pred_threshold_top_mcap --0.6,130
310,training_data_ipo_delay,is_top_50_next_3month,backtest_classifier_top_mcap,131
606,training_data_top60pct_ipo_delay_biotech,is_top_100_next_month,backtest_classifier_base,132
613,training_data_top60pct_ipo_delay_ex_biotech,is_top_100_next_month,backtest_classifier_base_removeNAs,132
599,training_data_top60pct_ipo_delay_ex_biotech_no_recalc,is_top_100_next_month,run_backtest_pred_threshold --0.6,132
623,training_data_top60pct_ipo_delay_ex_biotech,is_top_100_next_month,run_backtest_pred_threshold_removeNAs --0.6,132
