symbol,name,country,ipo_year,sector,industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AAL,American Airlines Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAMI,Acadian Asset Management Inc. Common Stock,United Kingdom,2014,Finance,Investment Managers
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Pharmaceuticals and Biotechnology
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,United States,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,Abivax SA American Depositary Shares,France,2023,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,Industrials,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACCD,Accolade Inc. Common Stock,United States,2020,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Medical Specialities
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,,Finance,Property-Casualty Insurers
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACT,Enact Holdings Inc. Common Stock,United States,2021,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,Real Estate,Real Estate Investment Trusts
ADEA,Adeia Inc. Common Stock,United States,2003,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
